MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,1,AA,LGA,659,0.0
8,1,AA,LGA,1130,0.0
8,1,AA,LGA,930,0.0
8,1,AA,LGA,1630,0.0
8,1,AA,LGA,1430,24.0
8,1,AA,LGA,1930,6.0
8,1,AA,LGA,1030,0.0
8,1,AA,LGA,1830,3.0
8,1,AA,LGA,830,62.0
8,1,AA,LGA,1530,33.0
8,1,AA,LGA,600,0.0
8,1,AA,LGA,2030,1.0
8,1,AA,LGA,1229,2.0
8,1,AA,LGA,1330,44.0
8,1,OO,HPN,705,0.0
8,1,OO,HPN,1630,0.0
8,1,OO,HPN,1200,0.0
8,1,B6,JFK,1321,0.0
8,1,B6,JFK,807,0.0
8,1,9E,JFK,1459,0.0
8,1,9E,JFK,1155,0.0
8,1,9E,JFK,900,0.0
8,1,DL,LGA,1830,0.0
8,1,DL,LGA,2045,72.0
8,1,DL,LGA,1630,0.0
8,1,DL,LGA,1200,0.0
8,1,DL,LGA,730,0.0
8,1,DL,LGA,845,50.0
8,1,DL,LGA,1359,0.0
8,1,DL,LGA,600,0.0
8,1,YX,JFK,1935,0.0
8,1,OO,LGA,1107,0.0
8,1,OO,LGA,1915,38.0
8,1,OO,LGA,1652,14.0
8,1,OO,HPN,620,0.0
8,1,OO,HPN,1803,0.0
8,1,OO,HPN,1200,90.0
8,1,UA,LGA,1815,0.0
8,1,UA,LGA,1300,0.0
8,1,UA,LGA,2100,0.0
8,1,UA,LGA,900,0.0
8,1,UA,LGA,1005,0.0
8,1,UA,LGA,630,0.0
8,1,UA,LGA,800,0.0
8,1,UA,LGA,1500,0.0
8,1,YX,LGA,700,0.0
8,2,AA,JFK,900,0.0
8,2,AA,JFK,1600,0.0
8,2,AA,LGA,1130,0.0
8,2,AA,LGA,1830,0.0
8,2,AA,LGA,1530,13.0
8,2,AA,LGA,930,0.0
8,2,AA,LGA,1730,0.0
8,2,AA,LGA,1030,0.0
8,2,AA,LGA,1230,0.0
8,2,AA,LGA,1630,2.0
8,2,AA,LGA,830,0.0
8,2,AA,LGA,1430,37.0
8,2,AA,LGA,730,0.0
8,2,AA,LGA,1930,46.0
8,2,AA,LGA,2030,72.0
8,2,AA,LGA,1330,0.0
8,2,AA,LGA,600,3.0
