"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"8","5","AA","LGA","DFW","1900","1.0"
"8","7","B6","JFK","LAX","1759","59.0"
"7","1","DL","JFK","ATL","1954","19.0"
"7","6","DL","LGA","ATL","1600","15.0"
"9","2","B6","JFK","LAX","1830","5.0"
"8","2","AA","LGA","DFW","630","0.0"
"2","6","AA","JFK","LAX","1100","6.0"
"7","2","OO","JFK","ORD","1120","0.0"
"10","7","DL","JFK","ATL","810","8.0"
"9","5","DL","LGA","ATL","1730","0.0"
"7","3","AA","LGA","DFW","1100","19.0"
"12","6","DL","LGA","ATL","820","0.0"
"6","4","WN","LGA","ATL","1430","1.0"
"6","3","B6","JFK","LAX","1755","29.0"
"9","4","DL","LGA","ATL","830","2.0"
"8","7","AA","JFK","DFW","1554","2.0"
"4","7","AA","JFK","LAX","1030","0.0"
"9","2","AA","LGA","ORD","1130","0.0"
"6","7","OO","LGA","ORD","1405","46.0"
"7","3","AA","JFK","LAX","1130","4.0"
"2","4","B6","JFK","ATL","1729","41.0"
"8","2","B6","JFK","LAX","935","6.0"
"12","7","YX","LGA","ATL","1740","0.0"
"8","2","DL","LGA","ORD","600","0.0"
"4","1","DL","LGA","DFW","600","0.0"
"4","1","DL","LGA","ORD","1305","0.0"
"8","6","AA","LGA","ORD","1030","0.0"
"10","1","AA","JFK","PHX","1629","90.0"
"12","7","B6","JFK","LAX","2045","54.0"
"3","3","DL","LGA","ATL","1425","36.0"
"11","7","DL","JFK","LAX","835","0.0"
"5","2","AA","LGA","ORD","1330","12.0"
"8","7","DL","LGA","ATL","2015","29.0"
"3","6","OO","JFK","ORD","805","0.0"
"12","2","UA","LGA","ORD","629","0.0"
"4","5","B6","JFK","ATL","1730","79.0"
"5","3","OO","LGA","ORD","1300","0.0"
"3","6","B6","JFK","LAX","835","0.0"
"12","6","AA","JFK","DFW","1759","4.0"
"5","7","DL","JFK","PHX","715","0.0"
"2","1","B6","JFK","ATL","1759","3.0"
"5","1","AA","LGA","DFW","1555","0.0"
"8","1","DL","LGA","ATL","1600","0.0"
"12","2","AA","JFK","ORD","900","0.0"
"10","1","DL","LGA","ATL","600","0.0"
"8","3","B6","JFK","PHX","1755","1.0"
"10","2","DL","LGA","ORD","2040","0.0"
"10","4","B6","JFK","LAX","630","0.0"
"3","4","B6","JFK","LAX","545","0.0"
"11","6","AA","LGA","ORD","1230","0.0"
"4","5","AA","LGA","DFW","1755","5.0"
"5","3","DL","JFK","ATL","1905","17.0"
"10","7","AA","JFK","LAX","1120","0.0"
"8","3","AA","LGA","ORD","830","37.0"
"12","7","YX","LGA","ORD","2100","0.0"
"8","5","B6","JFK","PHX","1755","66.0"
"6","2","DL","JFK","LAX","1905","0.0"
"10","3","DL","JFK","LAX","1929","100.0"
"11","7","DL","JFK","ATL","2145","10.0"
"10","1","AA","LGA","DFW","1600","19.0"
"11","4","DL","JFK","LAX","1715","3.0"
"7","4","DL","JFK","ATL","600","0.0"
"10","7","DL","LGA","DFW","1514","9.0"
"5","1","AA","LGA","DFW","1759","0.0"
"8","4","AA","LGA","ORD","659","0.0"
"9","4","DL","LGA","ORD","2040","2.0"
"8","3","DL","LGA","DFW","1205","0.0"
"7","3","NK","LGA","DFW","1230","9.0"
"10","3","DL","LGA","DFW","600","0.0"
"9","1","AA","LGA","ORD","1130","0.0"
"3","1","DL","LGA","ATL","1325","0.0"
"6","4","DL","LGA","ATL","1200","0.0"
"12","1","DL","JFK","ATL","1559","0.0"
"5","3","DL","LGA","ATL","1029","31.0"
"8","1","DL","LGA","ATL","1500","3.0"
"7","5","DL","LGA","ATL","1100","2.0"
"3","4","B6","JFK","LAX","545","0.0"
"3","5","OO","JFK","ORD","1929","37.0"
"5","6","DL","LGA","ORD","1415","35.0"
"2","4","YX","LGA","ATL","1727","4.0"
"12","5","AA","JFK","PHX","1310","6.0"
"11","4","AA","LGA","DFW","1100","0.0"
"8","4","B6","JFK","ORD","1321","0.0"
"3","2","AA","JFK","LAX","725","0.0"
"9","4","NK","LGA","DFW","1159","17.0"
"3","3","DL","LGA","DFW","825","0.0"
"4","1","DL","LGA","ATL","2120","0.0"
"2","4","AA","JFK","PHX","1305","0.0"
"2","3","DL","JFK","DFW","700","0.0"
"9","4","B6","JFK","LAX","1300","0.0"
